%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680086596301726048,1252208,5,1442,0,74,0
1680086596308422381,1252210,6,1538,0,74,0
1680086596309603548,1252213,7,2470,0,73,0
1680086596310677298,1252215,8,901,0,72,0
1680086596311941881,1252217,9,3396,0,73,0
1680086596313069423,1252219,10,968,0,73,0
1680086596319682798,1252221,11,883,0,73,0
1680086596321077881,1252223,12,4017,0,73,0
1680086596321965423,1252225,13,2033,0,72,0
1680086596323186131,1252227,14,1053,0,73,0
1680086596324390964,1252229,15,1049,0,74,0
1680086596328895964,1252231,16,3082,0,73,0
1680086596341061423,1252251,1,1947,0,74,0
1680086596350224631,1252254,2,777,0,73,0
1680086596351021173,1252256,3,3122,0,73,0
1680086596352315256,1252258,4,4065,0,73,0
1680086596358900964,1252260,5,1442,0,74,0
1680086596360035464,1252263,6,1539,0,74,0
1680086596361551214,1252265,7,2470,0,73,0
1680086596362694673,1252267,8,901,0,72,0
1680086596363923631,1252269,9,3396,0,73,0
1680086596370488881,1252271,10,968,0,73,0
1680086596371583339,1252273,11,883,0,73,0
1680086596372678506,1252275,12,4017,0,73,0
1680086596373865464,1252277,13,2033,0,72,0
1680086596375036131,1252279,14,1053,0,73,0
1680086596379446381,1252281,15,1049,0,74,0
1680086596380573006,1252284,16,3081,0,73,0
1680086596392710756,1252303,1,1947,0,74,0
1680086596399269589,1252306,2,777,0,73,0
1680086596400415298,1252308,3,3122,0,73,0
1680086596401664714,1252310,4,4065,0,73,0
1680086596410417964,1252313,5,1442,0,74,0
1680086596411537589,1252315,6,1538,0,74,0
1680086596412641464,1252317,7,2470,0,73,0
1680086596413797298,1252319,8,901,0,72,0
1680086596414879798,1252321,9,3396,0,73,0
1680086596420376964,1252322,10,968,0,73,0
1680086596421474131,1252325,11,883,0,73,0
1680086596422642548,1252327,12,4017,0,73,0
1680086596423782131,1252329,13,2033,0,72,0
1680086596424854589,1252331,14,1053,0,73,0
1680086596430602798,1252332,15,1049,0,74,0
1680086596431568089,1252335,16,3082,0,73,0
1680086596443713673,1252354,1,1947,0,74,0
1680086596450303298,1252357,2,777,0,73,0
1680086596451799131,1252359,3,3122,0,73,0
1680086596460285423,1252361,4,4065,0,73,0
1680086596461403506,1252364,5,1442,0,74,0
1680086596462520631,1252366,6,1538,0,74,0
1680086596463733548,1252368,7,2470,0,73,0
1680086596464762256,1252370,8,901,0,72,0
1680086596470322131,1252372,9,3396,0,73,0
1680086596471472756,1252375,10,968,0,73,0
1680086596472610756,1252377,11,883,0,73,0
1680086596474018256,1252379,12,4017,0,73,0
1680086596474900423,1252381,13,2033,0,72,0
1680086596480495256,1252383,14,1053,0,73,0
1680086596481777673,1252385,15,1049,0,74,0
1680086596482868923,1252387,16,3082,0,73,0
1680086596494910173,1252406,1,1947,0,74,0
1680086596501482714,1252409,2,777,0,73,0
1680086596502722589,1252411,3,3122,0,73,0
1680086596511934464,1252413,4,4065,0,73,0
1680086596512973006,1252416,5,1442,0,74,0
1680086596514123048,1252417,6,1538,0,73,0
1680086596515245298,1252419,7,2470,0,73,0
1680086596516346423,1252421,8,901,0,72,0
1680086596521896464,1252423,9,3397,0,73,0
1680086596523000256,1252425,10,968,0,73,0
1680086596524134048,1252427,11,883,0,73,0
1680086596525264256,1252429,12,4017,0,73,0
1680086596526489006,1252431,13,2034,0,72,0
1680086596530842964,1252433,14,1053,0,73,0
1680086596532085381,1252436,15,1049,0,74,0
1680086596533074090,1252438,16,3081,0,73,0
1680086596546220173,1252458,1,1948,0,74,0
1680086596551886965,1252460,2,777,0,73,0
1680086596553158673,1252462,3,3122,0,73,0
1680086596561723923,1252464,4,4065,0,73,0
1680086596562835256,1252467,5,1442,0,74,0
1680086596564091048,1252469,6,1538,0,74,0
1680086596565233548,1252470,7,2470,0,73,0
1680086596571876423,1252472,8,901,0,72,0
1680086596572937923,1252476,9,3397,0,73,0
1680086596574043840,1252478,10,968,0,73,0
1680086596575173506,1252480,11,883,0,73,0
1680086596576343506,1252481,12,4018,0,73,0
1680086596581741590,1252483,13,2033,0,72,0
1680086596582863756,1252486,14,1053,0,73,0
1680086596583962465,1252488,15,1049,0,74,0
1680086596585086965,1252490,16,3081,0,72,0
1680086596600432590,1252511,1,1947,0,74,0
1680086596604837590,1252514,2,777,0,73,0
1680086596612483256,1252516,3,3122,0,73,0
1680086596613579965,1252519,4,4065,0,73,0
1680086596614720381,1252521,5,1441,0,74,0
1680086596615902548,1252523,6,1538,0,74,0
1680086596622418840,1252525,7,2470,0,73,0
1680086596623535215,1252527,8,901,0,72,0
1680086596624659423,1252529,9,3397,0,73,0
1680086596625759965,1252531,10,968,0,73,0
1680086596626867631,1252533,11,883,0,73,0
1680086596632678090,1252535,12,4018,0,73,0
1680086596633814840,1252537,13,2033,0,72,0
1680086596634868673,1252539,14,1053,0,73,0
1680086596635989090,1252541,15,1049,0,74,0
1680086596637188756,1252543,16,3081,0,73,0
1680086596651538298,1252562,1,1947,0,74,0
1680086596655897215,1252565,2,777,0,73,0
1680086596662872590,1252567,3,3122,0,73,0
1680086596664045631,1252570,4,4065,0,73,0
1680086596665236881,1252572,5,1442,0,74,0
1680086596673915965,1252574,6,1538,0,74,0
1680086596675058715,1252577,7,2470,0,73,0
1680086596676169673,1252579,8,901,0,72,0
1680086596677259548,1252581,9,3397,0,73,0
1680086596678406131,1252583,10,968,0,73,0
1680086596682819881,1252585,11,883,0,73,0
1680086596683961298,1252587,12,4017,0,73,0
1680086596685245381,1252589,13,2033,0,72,0
1680086596686344881,1252592,14,1053,0,73,0
1680086596687420673,1252594,15,1049,0,74,0
1680086596694023756,1252596,16,3082,0,73,0
1680086596704178215,1252615,1,1947,0,74,0
1680086596714268090,1252618,2,777,0,73,0
1680086596715381381,1252620,3,3122,0,73,0
1680086596716527131,1252622,4,4065,0,73,0
1680086596717826048,1252624,5,1442,0,74,0
1680086596724421923,1252626,6,1538,0,74,0
1680086596725549381,1252628,7,2470,0,73,0
1680086596726680090,1252630,8,901,0,72,0
1680086596727866506,1252632,9,3396,0,73,0
1680086596728864340,1252634,10,968,0,72,0
1680086596734418381,1252636,11,883,0,73,0
1680086596735671965,1252638,12,4017,0,73,0
1680086596736712215,1252640,13,2033,0,72,0
1680086596737848340,1252642,14,1053,0,73,0
1680086596739009756,1252644,15,1049,0,74,0
1680086596744494131,1252646,16,3081,0,73,0
1680086596755808923,1252666,1,1947,0,74,0
1680086596764514215,1252669,2,777,0,73,0
1680086596765675298,1252671,3,3122,0,73,0
1680086596766735298,1252673,4,4065,0,73,0
1680086596767841048,1252675,5,1441,0,73,0
1680086596774523631,1252677,6,1538,0,74,0
1680086596775692465,1252679,7,2470,0,73,0
1680086596776755506,1252681,8,901,0,72,0
1680086596777916965,1252683,9,3396,0,73,0
1680086596779072298,1252685,10,968,0,73,0
1680086596784697715,1252687,11,883,0,73,0
1680086596785799298,1252689,12,4017,0,73,0
1680086596786927506,1252691,13,2033,0,72,0
1680086596788076173,1252693,14,1053,0,73,0
1680086596789145256,1252695,15,1049,0,74,0
1680086596794887798,1252698,16,3082,0,73,0
1680086596806874673,1252717,1,1947,0,74,0
1680086596815979590,1252720,2,777,0,73,0
1680086596817388548,1252722,3,3122,0,73,0
1680086596818306006,1252724,4,4065,0,73,0
1680086596819460298,1252726,5,1442,0,74,0
1680086596825030256,1252728,6,1539,0,74,0
1680086596826239090,1252731,7,2470,0,73,0
1680086596827338423,1252733,8,901,0,72,0
1680086596828501965,1252735,9,3396,0,73,0
1680086596836212590,1252736,10,968,0,73,0
1680086596837309006,1252740,11,883,0,73,0
1680086596838441298,1252742,12,4017,0,73,0
1680086596839609215,1252744,13,2033,0,72,0
1680086596840731173,1252746,14,1053,0,73,0
1680086596846399131,1252748,15,1049,0,74,0
1680086596847436965,1252750,16,3082,0,73,0
1680086596859551423,1252770,1,1947,0,74,0
1680086596866214548,1252773,2,777,0,73,0
1680086596867330173,1252775,3,3122,0,73,0
1680086596876171756,1252777,4,4065,0,73,0
1680086596877254048,1252780,5,1442,0,74,0
1680086596878376590,1252782,6,1538,0,74,0
1680086596879501673,1252784,7,2470,0,73,0
1680086596880745298,1252786,8,901,0,72,0
1680086596886564465,1252788,9,3396,0,73,0
1680086596887598215,1252791,10,968,0,73,0
1680086596888711256,1252793,11,883,0,73,0
1680086596889836548,1252795,12,4017,0,73,0
1680086596890990423,1252797,13,2034,0,72,0
1680086596896570090,1252799,14,1053,0,73,0
1680086596897735923,1252801,15,1049,0,74,0
1680086596898803298,1252803,16,3082,0,73,0
1680086596911289381,1252822,1,1947,0,74,0
1680086596915539090,1252825,2,777,0,73,0
1680086596919938840,1252827,3,3122,0,73,0
1680086596921096006,1252830,4,4065,0,73,0
1680086596926522173,1252832,5,1442,0,74,0
1680086596927626923,1252834,6,1538,0,73,0
1680086596929093423,1252836,7,2470,0,73,0
1680086596938026756,1252838,8,901,0,72,0
1680086596939107006,1252841,9,3397,0,73,0
1680086596940197215,1252843,10,968,0,73,0
1680086596941321215,1252845,11,883,0,73,0
1680086596942440215,1252847,12,4018,0,73,0
1680086596946965381,1252849,13,2033,0,72,0
1680086596948072923,1252852,14,1053,0,73,0
1680086596949293423,1252854,15,1049,0,74,0
1680086596950421298,1252856,16,3081,0,73,0
1680086596968054006,1252877,1,1947,0,74,0
1680086596972482173,1252880,2,777,0,73,0
1680086596973592298,1252882,3,3122,0,73,0
1680086596977961048,1252884,4,4065,0,73,0
1680086596979098340,1252887,5,1442,0,74,0
1680086596980177840,1252889,6,1538,0,74,0
1680086596987943923,1252891,7,2470,0,73,0
1680086596989080590,1252893,8,901,0,72,0
1680086596990188465,1252895,9,3396,0,73,0
1680086596991292548,1252897,10,968,0,73,0
1680086596999025090,1252899,11,883,0,73,0
1680086597000135006,1252902,12,4017,0,73,0
1680086597001400423,1252904,13,2033,0,72,0
1680086597002459048,1252906,14,1053,0,73,0
1680086597003717423,1252908,15,1049,0,74,0
1680086597009143131,1252910,16,3081,0,73,0
1680086597019093548,1252930,1,1947,0,74,0
1680086597029238340,1252933,2,777,0,73,0
1680086597030652381,1252935,3,3122,0,73,0
1680086597031633215,1252937,4,4065,0,73,0
1680086597032718923,1252939,5,1442,0,74,0
1680086597039373298,1252941,6,1538,0,74,0
1680086597040400215,1252943,7,2470,0,73,0
1680086597041581048,1252945,8,901,0,72,0
1680086597042727256,1252947,9,3396,0,73,0
1680086597043858548,1252949,10,968,0,73,0
1680086597048238048,1252951,11,883,0,73,0
1680086597049379590,1252953,12,4018,0,73,0
1680086597050500048,1252955,13,2033,0,72,0
1680086597051741756,1252957,14,1053,0,73,0
1680086597052824340,1252959,15,1049,0,74,0
1680086597059469256,1252961,16,3081,0,72,0
1680086597070339590,1252981,1,1947,0,74,0
1680086597079192131,1252984,2,777,0,73,0
1680086597080291048,1252986,3,3122,0,73,0
1680086597081418673,1252988,4,4065,0,73,0
1680086597082635006,1252990,5,1441,0,74,0
1680086597089116756,1252992,6,1538,0,74,0
1680086597090215548,1252995,7,2470,0,73,0
1680086597091345423,1252996,8,901,0,73,0
1680086597092451006,1252998,9,3396,0,73,0
1680086597100226548,1253000,10,968,0,73,0
1680086597101319923,1253004,11,883,0,73,0
1680086597102435798,1253006,12,4017,0,73,0
1680086597103579215,1253008,13,2033,0,72,0
1680086597104678756,1253009,14,1053,0,73,0
1680086597109192506,1253011,15,1049,0,74,0
1680086597110363131,1253014,16,3081,0,73,0
1680086597122573673,1253033,1,1947,0,74,0
1680086597130457881,1253036,2,777,0,73,0
1680086597131521006,1253038,3,3122,0,73,0
1680086597132588881,1253040,4,4065,0,73,0
1680086597140319256,1253042,5,1442,0,74,0
1680086597141418673,1253044,6,1539,0,74,0
1680086597142536923,1253046,7,2470,0,73,0
1680086597143634090,1253048,8,901,0,72,0
1680086597144732631,1253050,9,3397,0,73,0
1680086597150314006,1253052,10,968,0,73,0
1680086597151384090,1253055,11,883,0,73,0
1680086597152594381,1253057,12,4017,0,73,0
1680086597153896173,1253059,13,2033,0,72,0
1680086597155120298,1253061,14,1053,0,73,0
1680086597160666090,1253062,15,1049,0,74,0
1680086597161874381,1253065,16,3081,0,73,0
1680086597172919048,1253084,1,1947,0,74,0
1680086597180554923,1253087,2,777,0,73,0
1680086597181631923,1253089,3,3122,0,73,0
1680086597182826881,1253091,4,4065,0,73,0
1680086597191633423,1253093,5,1442,0,74,0
1680086597192716840,1253095,6,1538,0,73,0
1680086597193817090,1253097,7,2470,0,73,0
1680086597194927215,1253099,8,901,0,73,0
1680086597196096006,1253101,9,3397,0,73,0
1680086597200485840,1253104,10,968,0,73,0
1680086597201657381,1253106,11,883,0,73,0
1680086597202828006,1253108,12,4018,0,73,0
1680086597204013798,1253110,13,2033,0,72,0
1680086597210944923,1253112,14,1053,0,73,0
1680086597212010715,1253115,15,1049,0,74,0
1680086597213215465,1253117,16,3081,0,73,0
1680086597225192881,1253136,1,1947,0,74,0
1680086597231879590,1253139,2,777,0,73,0
1680086597233015382,1253141,3,3122,0,73,0
1680086597240796048,1253143,4,4065,0,73,0
1680086597242154757,1253146,5,1442,0,74,0
1680086597243119507,1253148,6,1538,0,74,0
1680086597244193923,1253150,7,2470,0,73,0
1680086597245619382,1253152,8,901,0,72,0
1680086597252173882,1253154,9,3396,0,73,0
1680086597253291132,1253156,10,968,0,73,0
1680086597254429798,1253158,11,883,0,73,0
1680086597255568882,1253160,12,4018,0,73,0
1680086597256670340,1253162,13,2033,0,72,0
1680086597261055215,1253164,14,1053,0,73,0
1680086597262242590,1253166,15,1049,0,74,0
1680086597263338673,1253168,16,3082,0,73,0
1680086597276708007,1253187,1,1947,0,74,0
1680086597282137590,1253190,2,777,0,73,0
1680086597283215590,1253192,3,3122,0,73,0
1680086597293099007,1253194,4,4065,0,73,0
1680086597294234965,1253196,5,1442,0,74,0
1680086597295352257,1253198,6,1538,0,73,0
1680086597296456632,1253200,7,2470,0,73,0
1680086597297609090,1253202,8,901,0,72,0
1680086597302001173,1253204,9,3397,0,73,0
1680086597303132423,1253207,10,968,0,73,0
1680086597304243382,1253209,11,883,0,73,0
1680086597305418715,1253211,12,4018,0,73,0
1680086597306514090,1253213,13,2033,0,72,0
1680086597312059423,1253215,14,1053,0,73,0
1680086597313167965,1253217,15,1049,0,74,0
1680086597314300465,1253219,16,3081,0,73,0
1680086597328514340,1253240,1,1948,0,74,0
1680086597378908423,1253242,2,777,0,73,0
1680086597380012173,1253244,3,3122,0,73,0
1680086597381382090,1253246,4,4065,0,73,0
1680086597382398423,1253248,5,1441,0,74,0
1680086597383536423,1253250,6,1538,0,74,0
1680086597384712257,1253252,7,2470,0,73,0
1680086597385846673,1253254,8,901,0,72,0
1680086597387110048,1253256,9,3397,0,73,0
1680086597388152715,1253258,10,968,0,73,0
1680086597389245798,1253260,11,883,0,73,0
1680086597390679382,1253262,12,4017,0,72,0
1680086597391742048,1253264,13,2033,0,72,0
1680086597392892215,1253266,14,1053,0,73,0
1680086597394002007,1253268,15,1049,0,74,0
1680086597395159257,1253270,16,3082,0,73,0
