%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680087046752191471,1702665,8,2999,0,72,0
1680087046757546346,1702667,9,3210,0,72,0
1680087046758682179,1702669,10,3121,0,73,0
1680087046759751138,1702671,11,1010,0,73,0
1680087046766358138,1702673,12,1591,0,72,0
1680087046767462679,1702675,13,1876,0,72,0
1680087046768554763,1702677,14,2886,0,73,0
1680087046769722388,1702679,15,1227,0,73,0
1680087046770847304,1702681,16,1111,0,73,0
1680087046785985763,1702701,1,2081,0,74,0
1680087046797950263,1702704,2,3121,0,73,0
1680087046799115013,1702706,3,3034,0,73,0
1680087046800198888,1702708,4,2096,0,73,0
1680087046801298804,1702710,5,1347,0,74,0
1680087046802483846,1702712,6,3763,0,74,0
1680087046803597554,1702714,7,2619,0,73,0
1680087046804678596,1702716,8,2999,0,72,0
1680087046806981179,1702718,9,3210,0,72,0
1680087046808096471,1702720,10,3122,0,73,0
1680087046809207054,1702722,11,1010,0,73,0
1680087046817887513,1702724,12,1591,0,72,0
1680087046819003179,1702726,13,1876,0,72,0
1680087046820130138,1702728,14,2885,0,73,0
1680087046821218054,1702730,15,1227,0,74,0
1680087046822370804,1702732,16,1111,0,72,0
1680087046836771429,1702751,1,2081,0,74,0
1680087046841207929,1702754,2,3121,0,73,0
1680087046847742138,1702756,3,3035,0,73,0
1680087046848856888,1702759,4,2096,0,73,0
1680087046849986304,1702761,5,1347,0,74,0
1680087046858951929,1702763,6,3763,0,73,0
1680087046860027429,1702766,7,2620,0,73,0
1680087046861606429,1702768,8,2999,0,72,0
1680087046862692638,1702770,9,3210,0,72,0
1680087046863817804,1702772,10,3121,0,73,0
1680087046868304304,1702774,11,1010,0,73,0
1680087046869372179,1702777,12,1591,0,72,0
1680087046870490638,1702779,13,1876,0,72,0
1680087046871568804,1702781,14,2885,0,73,0
1680087046872782346,1702783,15,1227,0,74,0
1680087046878316179,1702785,16,1111,0,72,0
1680087046889286721,1702804,1,2081,0,74,0
1680087046898065013,1702807,2,3120,0,73,0
1680087046899156179,1702809,3,3035,0,73,0
1680087046900422054,1702811,4,2096,0,73,0
1680087046901693596,1702813,5,1347,0,74,0
1680087046909297596,1702815,6,3763,0,74,0
1680087046910388596,1702817,7,2620,0,73,0
1680087046911584221,1702819,8,2999,0,72,0
1680087046912638804,1702821,9,3210,0,73,0
1680087046913779554,1702823,10,3121,0,72,0
1680087046919222513,1702825,11,1010,0,73,0
1680087046920327596,1702828,12,1591,0,73,0
1680087046921499679,1702830,13,1876,0,72,0
1680087046922632513,1702832,14,2885,0,73,0
1680087046923707596,1702834,15,1227,0,73,0
1680087046930488429,1702836,16,1111,0,73,0
1680087046940366013,1702855,1,2081,0,74,0
1680087046950108679,1702858,2,3121,0,73,0
1680087046951221846,1702860,3,3035,0,73,0
1680087046952390054,1702862,4,2096,0,73,0
1680087046953590638,1702864,5,1347,0,74,0
1680087046960229471,1702866,6,3763,0,73,0
1680087046961213429,1702868,7,2620,0,73,0
1680087046962441263,1702870,8,2999,0,72,0
1680087046963467179,1702872,9,3211,0,73,0
1680087046964584804,1702874,10,3121,0,73,0
1680087046970164429,1702876,11,1010,0,73,0
1680087046971268929,1702878,12,1591,0,73,0
1680087046972396679,1702880,13,1876,0,72,0
1680087046973610638,1702882,14,2885,0,73,0
1680087046974748388,1702884,15,1228,0,74,0
1680087046980176513,1702886,16,1111,0,73,0
1680087046991373846,1702906,1,2081,0,74,0
1680087047001286179,1702909,2,3121,0,73,0
1680087047002358263,1702911,3,3035,0,73,0
1680087047003486638,1702913,4,2096,0,73,0
1680087047004595388,1702915,5,1347,0,74,0
1680087047012276013,1702917,6,3763,0,74,0
1680087047013401388,1702920,7,2619,0,73,0
1680087047014604304,1702922,8,2999,0,72,0
1680087047015684638,1702923,9,3210,0,73,0
1680087047016784179,1702925,10,3122,0,73,0
1680087047017945763,1702927,11,1010,0,73,0
1680087047022344471,1702929,12,1591,0,73,0
1680087047023447596,1702932,13,1876,0,72,0
1680087047024563054,1702933,14,2885,0,73,0
1680087047025777221,1702935,15,1227,0,74,0
1680087047033356471,1702937,16,1111,0,72,0
1680087047043080179,1702958,1,2081,0,74,0
1680087047058313721,1702961,2,3121,0,73,0
1680087047059425263,1702963,3,3034,0,73,0
1680087047060556679,1702965,4,2096,0,73,0
1680087047061771013,1702967,5,1347,0,74,0
1680087047063920054,1702969,6,3763,0,74,0
1680087047065028471,1702971,7,2620,0,73,0
1680087047066169096,1702973,8,2999,0,72,0
1680087047067269679,1702975,9,3210,0,73,0
1680087047068399388,1702977,10,3121,0,72,0
1680087047073858471,1702979,11,1010,0,73,0
1680087047074974638,1702982,12,1591,0,73,0
1680087047076086096,1702984,13,1876,0,72,0
1680087047077198388,1702986,14,2886,0,73,0
1680087047078329679,1702988,15,1228,0,74,0
1680087047083838888,1702990,16,1111,0,72,0
1680087047094687221,1703009,1,2081,0,74,0
1680087047104558596,1703012,2,3121,0,73,0
1680087047105721846,1703014,3,3035,0,73,0
1680087047106783013,1703016,4,2096,0,73,0
1680087047107894221,1703018,5,1347,0,74,0
1680087047114488846,1703020,6,3763,0,74,0
1680087047115634929,1703022,7,2619,0,73,0
1680087047116754596,1703024,8,2999,0,72,0
1680087047117870346,1703026,9,3210,0,72,0
1680087047118966304,1703028,10,3122,0,72,0
1680087047126596263,1703030,11,1010,0,73,0
1680087047127711638,1703032,12,1591,0,73,0
1680087047128833513,1703034,13,1876,0,72,0
1680087047129908846,1703036,14,2885,0,73,0
1680087047131031638,1703038,15,1227,0,74,0
1680087047132188554,1703040,16,1111,0,73,0
1680087047145236138,1703060,1,2081,0,74,0
1680087047149571054,1703063,2,3121,0,73,0
1680087047156409096,1703065,3,3035,0,73,0
1680087047157460138,1703068,4,2096,0,73,0
1680087047158571679,1703070,5,1347,0,74,0
1680087047160762846,1703072,6,3763,0,73,0
1680087047161968221,1703075,7,2620,0,73,0
1680087047177129096,1703077,8,2999,0,72,0
1680087047178302804,1703079,9,3210,0,73,0
1680087047179296138,1703081,10,3121,0,73,0
1680087047180648513,1703083,11,1010,0,73,0
1680087047181750596,1703085,12,1591,0,73,0
1680087047182800638,1703087,13,1876,0,72,0
1680087047183887013,1703089,14,2885,0,73,0
1680087047185050179,1703091,15,1228,0,74,0
1680087047186305138,1703093,16,1111,0,72,0
1680087047199531054,1703114,1,2081,0,74,0
1680087047203876596,1703117,2,3121,0,73,0
1680087047208361513,1703119,3,3035,0,73,0
1680087047209449429,1703122,4,2096,0,73,0
1680087047218225888,1703124,5,1347,0,74,0
1680087047219296429,1703126,6,3763,0,73,0
1680087047220380638,1703128,7,2620,0,73,0
1680087047221484388,1703130,8,2999,0,72,0
1680087047222769929,1703132,9,3210,0,73,0
1680087047227081971,1703134,10,3122,0,72,0
1680087047228274846,1703136,11,1010,0,73,0
1680087047229316179,1703138,12,1591,0,73,0
1680087047230367221,1703140,13,1876,0,72,0
1680087047231648054,1703142,14,2885,0,73,0
1680087047238320179,1703144,15,1227,0,73,0
1680087047239427554,1703146,16,1111,0,72,0
1680087047250337263,1703165,1,2081,0,74,0
1680087047259057138,1703168,2,3121,0,73,0
1680087047260196679,1703170,3,3035,0,73,0
1680087047261325554,1703172,4,2096,0,73,0
1680087047268062638,1703174,5,1347,0,74,0
1680087047269140096,1703177,6,3763,0,74,0
1680087047270269763,1703179,7,2620,0,73,0
